asset,inner_window,zscore_lookback,forward_days,n_orders,spearman_r,spearman_p,n
XLK,40,252,20,3,-0.1401263232519241,1.3758005879518375e-27,5976
XLK,40,252,20,4,-0.12194963545760071,3.06113937541349e-21,5976
XLE,5,60,2,3,-0.034906623367898196,0.005896412024787296,6221
XLE,5,60,2,4,-0.05061958813307562,6.488755186488287e-05,6221
XLE,5,60,3,3,-0.04812764615570019,0.00014638730068536917,6220
XLE,5,60,3,4,-0.06532723943466079,2.5142725560548553e-07,6220
XLE,5,60,5,3,-0.056669987256994306,7.772123121762414e-06,6218
XLE,5,60,5,4,-0.07135295265125234,1.7757919288716818e-08,6218
XLE,5,60,10,3,-0.05567738009737547,1.1274843248467176e-05,6213
XLE,5,60,10,4,-0.06888049773734511,5.488815014824452e-08,6213
XLE,5,60,20,3,-0.05796564167404921,4.918263616072317e-06,6203
XLE,5,60,20,4,-0.07269142564433227,9.952133856885242e-09,6203
XLE,5,120,2,3,-0.06615649818972724,2.0209638815627235e-07,6161
XLE,5,120,2,4,-0.07487817241765152,3.994776232045857e-09,6161
XLE,5,120,3,3,-0.08635295416471805,1.1308783005193876e-11,6160
XLE,5,120,3,4,-0.09727699663715698,1.9872231533140527e-14,6160
XLE,5,120,5,3,-0.1008373820619393,2.163039081968656e-15,6158
XLE,5,120,5,4,-0.11091116381395033,2.5762234619588984e-18,6158
XLE,5,120,10,3,-0.10399307792087811,2.8895217811107517e-16,6153
XLE,5,120,10,4,-0.11593829609241922,7.290139677585754e-20,6153
XLE,5,120,20,3,-0.11020293486725666,4.633813802715829e-18,6143
XLE,5,120,20,4,-0.12151477732618034,1.2064033297050271e-21,6143
XLE,5,252,2,3,-0.09110660598400895,1.3665729998552468e-12,6029
XLE,5,252,2,4,-0.10919082517454436,1.8639559071168754e-17,6029
XLE,5,252,3,3,-0.12232585022351242,1.5540635348547121e-21,6028
XLE,5,252,3,4,-0.14529177311723981,8.472386680236789e-30,6028
XLE,5,252,5,3,-0.14669818732831327,2.4229344636110345e-30,6026
XLE,5,252,5,4,-0.16811403627946508,1.9126599849277686e-39,6026
XLE,5,252,10,3,-0.15420363203298362,2.3260478303670706e-33,6021
XLE,5,252,10,4,-0.1750699515309171,1.2044711084304233e-42,6021
XLE,5,252,20,3,-0.16015719489092362,7.92537681752972e-36,6011
XLE,5,252,20,4,-0.17940020582779284,1.1760542558921983e-44,6011
